,params_Q,params_em,params_length,params_pos,params_spread,params_lacc,energy,spread,emittance,charge,fit_obj,
0,112.3218837,4.935405355,69.39973776,6.435326803,0.279845281,10,3977.772171,12.65358785,9.32309358,110.8648381,3.738178231,3.738178231
1,138.0367827,4.912028216,52.88251626,6.286088033,0.263153119,10,3882.499844,7.91097281,9.271743735,137.7864769,7.293344559,7.293344559
2,117.1915831,3.725735152,67.44865111,6.540473099,0.33114941,10,3886.814,16.63071154,7.357470327,115.3868453,3.665309969,3.665309969
3,110.6410815,4.327531236,115.7624438,6.224772714,0.190191281,10,3651.96441,19.45531595,8.109622388,109.5078199,2.534736093,2.534736093
4,143.333089,5.058034588,49.55713714,6.311986511,0.431967235,10,3883.503552,9.035435698,9.672766965,142.5874301,6.335853456,6.335853456
5,105.0962263,3.255948786,110.5114278,6.727748018,0.17313384,10,3595.805725,27.75849058,8.064447179,97.14557549,1.560446187,1.560446187
6,143.3444565,2.57599159,107.5589843,5.824980831,0.173111061,10,3115.372264,25.6850796,4.625568148,143.1383791,3.753358469,3.753358469
7,121.6006476,7.458238261,80.46702348,6.167757738,0.444377144,10,3813.735776,9.84487956,13.13608098,121.3201837,3.577728955,3.577728955
8,131.5371087,4.50136601,98.41299013,5.918439572,0.357526659,10,3363.10656,19.5013063,7.893816275,131.4011937,2.870709329,2.870709329
9,115.7508643,2.323047548,55.9442031,6.712917158,0.326474401,10,3754.260936,22.18457162,4.415459913,80.66636147,3.091647202,3.091647202
10,143.0999816,4.747075762,57.5845171,5.964462431,0.311595829,10,3517.241761,5.624182776,8.078382817,143.1453961,11.08142854,11.08142854
11,106.1229019,2.483915051,61.12591014,6.364697896,0.41696551,10,4014.610213,8.850672002,4.461955439,106.1532759,10.79133838,10.79133838
12,147.697949,3.252788357,103.9308988,6.597725327,0.442109649,10,3542.254436,24.65625147,7.06901691,143.1975423,2.910242949,2.910242949
13,137.468973,2.110305591,67.40571985,6.512423015,0.103442263,10,3779.126924,16.2881207,4.081085255,136.7485873,7.774414298,7.774414298
14,148.2645343,2.007350967,66.00309227,6.791287977,0.480309487,10,3408.984197,30.27879732,4.55851608,130.0997518,3.213211731,3.213211731
15,129.4191436,7.620633126,90.9834785,5.98519718,0.499720269,10,3524.136843,15.25123033,13.27349156,129.0803994,2.247103139,2.247103139
16,130.0987569,3.947198831,113.711957,6.493131633,0.20876798,10,3624.070928,22.33075151,8.071601244,125.633939,2.526042353,2.526042353
17,118.8271963,5.07188508,60.47915079,5.889735566,0.433456878,10,3506.379931,8.884578534,8.512482717,118.8175822,5.50866813,5.50866813
18,114.7027106,2.147061259,78.19470492,6.155807015,0.403313707,10,3794.05738,9.037908652,3.713011754,114.2926012,12.92194059,12.92194059
19,148.9385612,2.654219571,53.22382521,5.962930479,0.400330425,10,3466.228198,4.309020248,4.618219194,148.6505993,25.89230646,25.89230646
20,121.0014593,6.418018554,48.62439376,6.736063518,0.14769207,10,4571.541336,2.678180325,23.01408563,4.411847239,0.327227337,0.327227337
21,115.6195883,5.66077072,98.73111395,6.75234321,0.291231728,10,3572.462349,28.95088141,13.83063388,94.79219365,0.845739002,0.845739002
22,120.9997209,7.387831155,93.5528893,5.944154676,0.373818296,10,3482.434989,17.28582501,12.58041916,120.8398466,1.935120259,1.935120259
23,106.3857997,3.724852873,42.82403627,5.974016654,0.341489619,10,3727.877623,3.359482988,6.52352889,106.2849184,18.07916025,18.07916025
24,149.5309406,7.998294132,40.71888225,6.746678334,0.283792591,10,4547.584716,2.871695536,30.07904764,2.140107993,0.112671484,0.112671484
25,148.4324117,2.789726026,69.83659291,5.99832619,0.463637793,10,3494.861444,8.11612958,4.914353337,148.4529558,13.00778832,13.00778832
26,103.7829153,4.146616652,52.28342396,5.962527759,0.192972098,10,3704.937481,5.611083889,7.052151101,103.2420957,9.666501543,9.666501543
27,136.1372869,6.642294638,45.07695487,5.864429339,0.395561925,10,3435.543037,4.313369661,11.24699548,136.0465391,9.634511325,9.634511325
28,141.5095545,5.038969381,101.1878707,6.444002826,0.100838032,10,3653.394631,19.33373742,10.13680536,139.195675,2.594809052,2.594809052
29,149.5552779,3.676574265,43.34906799,6.018891109,0.183315159,10,3582.235006,3.960414365,6.609117514,149.0397653,20.39727403,20.39727403
30,141.3385722,5.064171725,110.9703092,6.154219617,0.378469337,10,3527.490256,17.95586804,9.192152576,140.3854146,3.000296549,3.000296549
31,121.4754616,5.518427173,71.31247715,5.995887022,0.492034447,10,3649.505248,9.480281195,9.445299505,121.3130141,4.944295659,4.944295659
32,126.9922701,7.860229541,40.20020842,6.566087334,0.323033704,10,4525.815166,2.938061999,22.32459772,14.2031984,0.980027741,0.980027741
33,111.4106358,6.744127762,62.23052071,6.184869543,0.431339869,10,3953.753224,6.010594222,11.96588099,111.3851322,6.123147129,6.123147129
